title,subtitle,color,supplier_color,category,sub_category,meta_category,hidden,image_remote_url,description
APC,Ollie Tee,Navy,Dark Navy,Tops,T-Shirts,Logo T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/9/09-07-2019_a.p.c._ollietee_darknavy_codcs-h26819-iak_bb_1.jpg","Started in 1988 by creative director Jean Touitou, A.P.C. (short for Atelier de Production et de Creation) produces timeless, quintessentially Parisian men’s ready-to-wear. Refined materials and an attention to cut and fit define the label’s elevated closet staples, from its cult favorite raw denim jeans and mariner striped sweaters to printed button-downs and t-shirts. Timelessly styled leather and suede backpacks, desert boots, and derbys complement A.P.C.’s low-key menswear for a look that is casual, yet always polished."
Stone Island,Long Sleeve Tela Plated Chalk Logo Tee,Navy,Black,Tops,Longsleeves,Logo Longsleeve T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/3/0/30-03-2019_stoneisland_telaplatedchalklogolongsleevetee_black_701524436-v0029_tc_1.jpg","A devotion to extensive research and continual experimentation has been at the forefront of Italian menswear label Stone Island’s design philosophy since its inception in 1982. Founded by Massimo Osti and now helmed by creative director Carlo Rivetti, the brand’s offerings speak to a range of 80s and 90s subcultures. Casual and utilitarian-inspired designs are crafted using complex dying processes and textile treatments developed in-house. Innovative pieces including pixel-reflective nylon metal jackets, Tela polyester coats, and ultra-light hooded down jackets showcase the label’s acute attention to detail. Collaborations with brands including Supreme and NikeLab Stone Island have garnered a following within streetwear audiences."
PLEASURES,Short Sleeve Transformer Vacation Shirt,Black,Black,Tops,Button-Downs,Logo Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/9/19-06-2019_pleasures_shortsleevetransformervacationshirt_black_p19s109009-bk_aj_1.jpg","Pleasures is a Los Angeles based streetwear brand founded by Alex James in 2015, and is known for its punk, metal and grunge leanings, as well as its designs that court controversy. Since launch, the brand has been collaborating with other world-famous fashion brands like ROKIT, adidas, JSP, Akila etc. for some exceptional collections. Celebrities such as The Weekend, Kylie Jenner, G-Dragon and Wiz Khalifa were photographed in wearing pieces from the brand."
Acne Studios,Saira Vacation Shirt,Blue,Indigo Denim & Palace Blue,Tops,Button-Downs,Summer Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/2/9/29-03-2019_acnestudios_sairavacationshirt_indigodenimpalaceblue_bb0054-aqa_mo_1.jpg","""Ambition to Create Novel Expression” – this acronym forms the mission statement of Acne Studios, a creative collective and lifestyle brand that started off in Stockholm in 1996 with 100 pairs of minimalist raw denim jeans. Founder and creative director Jonny Johansson distributed the jeans to his friends in the Swedish creative community, and demand for the brand’s novel and pared-back vision grew from there. Now comprising arms focusing on design, production, and advertising, the collective’s fashion division split off independently in 2006. Its menswear offerings present a wardrobe of understated yet distinctive basics updated with perfected proportions and nuanced colorways. Leather and shearling jackets, well cut denim, progressive tailored pieces, and pared-back knits, button-downs, and t-shirts all reflect Johansson’s intellectual take on Scandinavian minimalism."
Cav Empt,Design Lighter Tee,Black,Black,Tops,T-Shirts,Graphic T-Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/1/5/15-08-2019_cavempt_designlightertee_black_ces16t01-blk_cw_1.jpg","Founded in 2011, Japanese streetwear brand Cav Empt is powered by the creative direction of graphic designer Sk8thing. The label has garnered a cult-like following with its strong emphasis on exclusive prints and eclectic appliqués."
Cav Empt,Short Sleeve Digital Print Shirt,Blue,Multi,Tops,Button-Downs,Summer Shirt,TRUE,"https://media.endclothing.com/media/f_auto,q_auto:eco/prodmedia/media/catalog/product/0/8/08-06-2019_cavempt_shortsleevedigitalprintshirt_multi_ces15sh07-mlt_cw_1.jpg","Founded in 2011, Japanese streetwear brand Cav Empt is powered by the creative direction of graphic designer Sk8thing. The label has garnered a cult-like following with its strong emphasis on exclusive prints and eclectic appliqués."
Eleven Paris,Eleven x A$AP Rocky 'I Am Not A Rapper' Hoodie,Tie-Dye,Red Tie & Dye,Sweaters,Hoodies,Tie-Dye Pullover Hoodie,TRUE,https://www.dropbox.com/s/1d6q5btfygx416m/eleven%20asap.jpg?dl=0&raw=1,"On the fashion international scene since 2003, the brand is known for its fun t-shirts, its creative and contemporary collections and its street wear style, as well as for its famous ambassadors."
Eleven Paris,Lawson Woven Short Sleeve Shirt,Grey,Japan Print,Tops,Button-Downs,Print Summer Shirt,TRUE,https://www.dropbox.com/s/9m98eaa43hcr043/eleven%20japan%20summer.jpg?dl=0&raw=1,"On the fashion international scene since 2003, the brand is known for its fun t-shirts, its creative and contemporary collections and its street wear style, as well as for its famous ambassadors."
Eleven Paris,Eleven x Smiley Ladino Knit Hooded Sweatshirt,Beige,Off-White,Sweaters,Hoodies,Pullover Graphic Hoodie,TRUE,https://www.dropbox.com/s/l8ilwdbght9ho17/eleven%20white%20smiley%20hoodie.jpg?dl=0&raw=1,"On the fashion international scene since 2003, the brand is known for its fun t-shirts, its creative and contemporary collections and its street wear style, as well as for its famous ambassadors."
Eleven Paris,Eleven x Playboy Laya Knit Hooded Sweatshirt,White,Tie & Dye,Sweaters,Hoodies,Pullover Graphic Hoodie,TRUE,https://www.dropbox.com/s/m2vaty15b96gcha/eleven%20playboy%20white%20hoodie.jpg?dl=0&raw=1,"On the fashion international scene since 2003, the brand is known for its fun t-shirts, its creative and contemporary collections and its street wear style, as well as for its famous ambassadors."
Eleven Paris,Eleven x Playboy Levery Knit Hooded Sweatshirt,Black,Black,Sweaters,Hoodies,Pullover Logo Hoodie,TRUE,https://www.dropbox.com/s/kas85uix1l0pd5j/eleven%20black%20pb%20hoodie.jpg?dl=0&raw=1,"On the fashion international scene since 2003, the brand is known for its fun t-shirts, its creative and contemporary collections and its street wear style, as well as for its famous ambassadors."
Eleven Paris,Eleven x NASA Laspa Knit Hooded Sweatshirt,White,White,Sweaters,Hoodies,Pullover Graphic Hoodie,TRUE,https://www.dropbox.com/s/bb0w3pxvqf0joy5/eleven%20white%20nasa%20hoodie.jpg?dl=0&raw=1,"On the fashion international scene since 2003, the brand is known for its fun t-shirts, its creative and contemporary collections and its street wear style, as well as for its famous ambassadors."
